time	channel1	channel2	channel3	channel4	channel5	channel6	channel7	channel8	class
1	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
4	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
5	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
6	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
7	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
8	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
9	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
10	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
11	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
12	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
13	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
14	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
15	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
16	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
17	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
18	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
19	-2e-05	-1e-05	-2e-05	0	-1e-05	-2e-05	-1e-05	-2e-05	0
20	1e-05	-2e-05	1e-05	-1e-05	1e-05	0	1e-05	-1e-05	0
21	1e-05	-2e-05	1e-05	-1e-05	1e-05	0	1e-05	-1e-05	0
22	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
23	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
24	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
25	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
26	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
27	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
28	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
29	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
30	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
31	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
33	0	-1e-05	0	0	-1e-05	0	-1e-05	0	0
34	-1e-05	-1e-05	0	-1e-05	-2e-05	0	-1e-05	-3e-05	0
35	-1e-05	-1e-05	0	-1e-05	-2e-05	0	-1e-05	-3e-05	0
42	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
43	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
44	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
45	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
46	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
47	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
48	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
49	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
50	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
51	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
52	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
53	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
54	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
55	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
56	-1e-05	-1e-05	1e-05	2e-05	-1e-05	0	0	-1e-05	0
57	-1e-05	-1e-05	-1e-05	-1e-05	0	-1e-05	0	0	0
58	-1e-05	-1e-05	-1e-05	-1e-05	0	-1e-05	0	0	0
59	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
60	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
61	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
62	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
63	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
64	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
65	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
66	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
67	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
68	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
69	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
70	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
71	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
72	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
73	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
74	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
75	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
76	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
77	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
78	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
79	-1e-05	-1e-05	-1e-05	0	-1e-05	-1e-05	0	-2e-05	0
80	-2e-05	-3e-05	-3e-05	-3e-05	0	-1e-05	-1e-05	0	0
81	-2e-05	-3e-05	-3e-05	-3e-05	0	-1e-05	-1e-05	0	0
82	-1e-05	-1e-05	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	0
83	-1e-05	-1e-05	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	0
84	-1e-05	-1e-05	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	0
85	-1e-05	-1e-05	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	0
86	-1e-05	-1e-05	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	0
88	-1e-05	-1e-05	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	0
89	-1e-05	-1e-05	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	0
